DATETIME,TIME,LON,LAT,PCO2_ORIGINAL
"""29-JAN-2019""",14250,78.0833,5.26743,421.155
"""29-JAN-2019""",14250,78.1667,5.26743,421.32
"""29-JAN-2019""",14250,78.25,5.26743,421.539
"""29-JAN-2019""",14250,78.3333,5.26743,421.363
"""29-JAN-2019""",14250,78.4167,5.26743,420.77
"""29-JAN-2019""",14250,78.5,5.26743,419.829
"""29-JAN-2019""",14250,78.5833,5.26743,418.59
"""29-JAN-2019""",14250,78.6667,5.26743,417.88
"""29-JAN-2019""",14250,78.75,5.26743,416.856
"""29-JAN-2019""",14250,78.8333,5.26743,416.677
"""29-JAN-2019""",14250,78.9167,5.26743,417.206
"""29-JAN-2019""",14250,79,5.26743,418.244
"""29-JAN-2019""",14250,79.0833,5.26743,418.647
"""29-JAN-2019""",14250,79.1667,5.26743,418.826
"""29-JAN-2019""",14250,79.25,5.26743,418.918
"""29-JAN-2019""",14250,79.3333,5.26743,419.001
"""29-JAN-2019""",14250,79.4167,5.26743,419.08
"""29-JAN-2019""",14250,79.5,5.26743,419.017
"""29-JAN-2019""",14250,79.5833,5.26743,419.224
"""29-JAN-2019""",14250,79.6667,5.26743,419.658
"""29-JAN-2019""",14250,79.75,5.26743,420.069
"""29-JAN-2019""",14250,79.8333,5.26743,420.44
"""29-JAN-2019""",14250,79.9167,5.26743,420.901
"""29-JAN-2019""",14250,80,5.26743,420.402
"""29-JAN-2019""",14250,80.0833,5.26743,419.698
"""29-JAN-2019""",14250,80.1667,5.26743,419.122
"""29-JAN-2019""",14250,80.25,5.26743,418.678
"""29-JAN-2019""",14250,80.3333,5.26743,418.639
"""29-JAN-2019""",14250,80.4167,5.26743,418.173
"""29-JAN-2019""",14250,80.5,5.26743,416.627
"""29-JAN-2019""",14250,80.5833,5.26743,414.814
"""29-JAN-2019""",14250,80.6667,5.26743,411.888
"""29-JAN-2019""",14250,80.75,5.26743,408.655
"""29-JAN-2019""",14250,80.8333,5.26743,407.395
"""29-JAN-2019""",14250,80.9167,5.26743,407.045
