DATETIME,TIME,LON,LAT,MLD
"""29-JAN-2019""",14250,85.1667,5.26743,35.2758
"""29-JAN-2019""",14250,85.25,5.26743,34.7385
"""29-JAN-2019""",14250,85.3333,5.26743,34.2745
"""29-JAN-2019""",14250,85.4167,5.26743,33.7642
"""29-JAN-2019""",14250,85.5,5.26743,33.4727
"""29-JAN-2019""",14250,85.5833,5.26743,33.1661
"""29-JAN-2019""",14250,85.6667,5.26743,32.9575
"""29-JAN-2019""",14250,85.75,5.26743,32.7366
"""29-JAN-2019""",14250,85.8333,5.26743,32.5998
"""29-JAN-2019""",14250,85.9167,5.26743,32.4525
"""29-JAN-2019""",14250,86,5.26743,32.2902
"""29-JAN-2019""",14250,86.0833,5.26743,32.1081
"""29-JAN-2019""",14250,86.1667,5.26743,31.7501
"""29-JAN-2019""",14250,86.25,5.26743,31.4979
"""29-JAN-2019""",14250,86.3333,5.26743,31.2026
"""29-JAN-2019""",14250,86.4167,5.26743,30.9528
"""29-JAN-2019""",14250,86.5,5.26743,30.6949
"""29-JAN-2019""",14250,86.5833,5.26743,30.405
"""29-JAN-2019""",14250,86.6667,5.26743,30.1028
"""29-JAN-2019""",14250,86.75,5.26743,29.714
"""29-JAN-2019""",14250,86.8333,5.26743,29.261
"""29-JAN-2019""",14250,86.9167,5.26743,29.1516
"""29-JAN-2019""",14250,87,5.26743,28.8127
"""29-JAN-2019""",14250,87.0833,5.26743,28.7019
"""29-JAN-2019""",14250,87.1667,5.26743,28.3588
"""29-JAN-2019""",14250,87.25,5.26743,28.3009
"""29-JAN-2019""",14250,87.3333,5.26743,28.2428
"""29-JAN-2019""",14250,87.4167,5.26743,28.2397
"""29-JAN-2019""",14250,87.5,5.26743,28.1924
"""29-JAN-2019""",14250,87.5833,5.26743,28.2008
"""29-JAN-2019""",14250,87.6667,5.26743,28.0904
"""29-JAN-2019""",14250,87.75,5.26743,28.2177
"""29-JAN-2019""",14250,87.8333,5.26743,28.0802
"""29-JAN-2019""",14250,87.9167,5.26743,28.4123
"""29-JAN-2019""",14250,88,5.26743,28.4622
"""29-JAN-2019""",14250,88.0833,5.26743,28.8477
"""29-JAN-2019""",14250,88.1667,5.26743,28.8049
"""29-JAN-2019""",14250,88.25,5.26743,29.0667
"""29-JAN-2019""",14250,88.3333,5.26743,29.0467
"""29-JAN-2019""",14250,88.4167,5.26743,29.1859
"""29-JAN-2019""",14250,88.5,5.26743,29.2186
"""29-JAN-2019""",14250,88.5833,5.26743,29.0185
"""29-JAN-2019""",14250,88.6667,5.26743,29.1066
"""29-JAN-2019""",14250,88.75,5.26743,28.9397
"""29-JAN-2019""",14250,88.8333,5.26743,28.7013
"""29-JAN-2019""",14250,88.9167,5.26743,28.5414
"""29-JAN-2019""",14250,89,5.26743,29.0956
"""29-JAN-2019""",14250,89.0833,5.26743,29.262
"""29-JAN-2019""",14250,89.1667,5.26743,29.9402
"""29-JAN-2019""",14250,89.25,5.26743,30.5922
"""29-JAN-2019""",14250,89.3333,5.26743,30.8818
"""29-JAN-2019""",14250,89.4167,5.26743,31.1411
"""29-JAN-2019""",14250,89.5,5.26743,31.0947
"""29-JAN-2019""",14250,89.5833,5.26743,31.3125
"""29-JAN-2019""",14250,89.6667,5.26743,31.2851
"""29-JAN-2019""",14250,89.75,5.26743,30.8487
"""29-JAN-2019""",14250,89.8333,5.26743,30.3593
"""29-JAN-2019""",14250,89.9167,5.26743,29.5991
"""29-JAN-2019""",14250,90,5.26743,28.7182
"""29-JAN-2019""",14250,90.0833,5.26743,28.6633
"""29-JAN-2019""",14250,90.1667,5.26743,28.663
"""29-JAN-2019""",14250,90.25,5.26743,29.1384
"""29-JAN-2019""",14250,90.3333,5.26743,29.2297
"""29-JAN-2019""",14250,90.4167,5.26743,29.5856
"""29-JAN-2019""",14250,90.5,5.26743,29.2819
"""29-JAN-2019""",14250,90.5833,5.26743,29.9224
"""29-JAN-2019""",14250,90.6667,5.26743,30.0958
"""29-JAN-2019""",14250,90.75,5.26743,30.3816
"""29-JAN-2019""",14250,90.8333,5.26743,30.4584
"""29-JAN-2019""",14250,90.9167,5.26743,30.7543
"""29-JAN-2019""",14250,91,5.26743,30.8679
"""29-JAN-2019""",14250,91.0833,5.26743,31.1114
"""29-JAN-2019""",14250,91.1667,5.26743,31.2977
"""29-JAN-2019""",14250,65.8333,5.35041,51.0543
