Total Number of Records          76555.
             DATA SET: /home/las/datasets/pCO2/pCO2-Corrected_INCOIS-BIO-ROMS.nc
             X: 0.5 to 76555.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (days since 24-JAN-1980 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: PCO2_ORIGINAL is Surface partial pressure of CO2 (pCO2 from IBR model) (micro atm)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,PCO2_ORIGINAL
"28-FEB-2019",14280,76.1667,5.26743,422.744  
"28-FEB-2019",14280,76.25,5.26743,422.464  
"28-FEB-2019",14280,76.3333,5.26743,422.317  
"28-FEB-2019",14280,76.4167,5.26743,421.705  
"28-FEB-2019",14280,76.5,5.26743,421.262  
"28-FEB-2019",14280,76.5833,5.26743,421.023  
"28-FEB-2019",14280,76.6667,5.26743,420.712  
"28-FEB-2019",14280,76.75,5.26743,420.455  
"28-FEB-2019",14280,76.8333,5.26743,420.714  
"28-FEB-2019",14280,76.9167,5.26743,421.001  
"28-FEB-2019",14280,77,5.26743,420.691  
"28-FEB-2019",14280,77.0833,5.26743,420.048  
"28-FEB-2019",14280,77.1667,5.26743,418.508  
"28-FEB-2019",14280,77.25,5.26743,416.873  
"28-FEB-2019",14280,77.3333,5.26743,415.453  
"28-FEB-2019",14280,77.4167,5.26743,415.727  
"28-FEB-2019",14280,77.5,5.26743,415.473  
"28-FEB-2019",14280,77.5833,5.26743,416.156  
"28-FEB-2019",14280,77.6667,5.26743,416.77  
"28-FEB-2019",14280,77.75,5.26743,416.461  
"28-FEB-2019",14280,77.8333,5.26743,416.741  
"28-FEB-2019",14280,77.9167,5.26743,416.807  
"28-FEB-2019",14280,78,5.26743,417.091  
"28-FEB-2019",14280,78.0833,5.26743,417.278  
"28-FEB-2019",14280,78.1667,5.26743,417.131  
"28-FEB-2019",14280,78.25,5.26743,417.228  
"28-FEB-2019",14280,78.3333,5.26743,417.383  
"28-FEB-2019",14280,78.4167,5.26743,417.461  
"28-FEB-2019",14280,78.5,5.26743,417.784  
"28-FEB-2019",14280,78.5833,5.26743,417.995  
"28-FEB-2019",14280,78.6667,5.26743,418.178  
"28-FEB-2019",14280,78.75,5.26743,418.59  
"28-FEB-2019",14280,78.8333,5.26743,418.786  
"28-FEB-2019",14280,78.9167,5.26743,418.819  
"28-FEB-2019",14280,79,5.26743,418.896  
"28-FEB-2019",14280,79.0833,5.26743,418.965  
"28-FEB-2019",14280,79.1667,5.26743,419.344  
"28-FEB-2019",14280,79.25,5.26743,420.246  
"28-FEB-2019",14280,79.3333,5.26743,420.611  
"28-FEB-2019",14280,79.4167,5.26743,420.534  
"28-FEB-2019",14280,79.5,5.26743,419.37  
"28-FEB-2019",14280,79.5833,5.26743,417.104  
"28-FEB-2019",14280,79.6667,5.26743,414.428  
"28-FEB-2019",14280,79.75,5.26743,411.459  
"28-FEB-2019",14280,79.8333,5.26743,410.469  
"28-FEB-2019",14280,79.9167,5.26743,408.692  
"28-FEB-2019",14280,80,5.26743,407.192  
"28-FEB-2019",14280,80.0833,5.26743,407.849  
"28-FEB-2019",14280,80.1667,5.26743,408.856  
"28-FEB-2019",14280,80.25,5.26743,410.609  
"28-FEB-2019",14280,80.3333,5.26743,410.748  
"28-FEB-2019",14280,80.4167,5.26743,409.993  
"28-FEB-2019",14280,80.5,5.26743,410.229  
"28-FEB-2019",14280,80.5833,5.26743,410.649  
"28-FEB-2019",14280,80.6667,5.26743,410.897  
"28-FEB-2019",14280,80.75,5.26743,410.963  
"28-FEB-2019",14280,80.8333,5.26743,411.411  
"28-FEB-2019",14280,80.9167,5.26743,410.929  
"28-FEB-2019",14280,81,5.26743,411.669  
"28-FEB-2019",14280,81.0833,5.26743,411.561  
"28-FEB-2019",14280,81.1667,5.26743,411.52  
"28-FEB-2019",14280,81.25,5.26743,411.472  
"28-FEB-2019",14280,81.3333,5.26743,411.117  
"28-FEB-2019",14280,81.4167,5.26743,411.152  
