DATETIME,TIME,LON,LAT,NO3
"""29-JAN-2019""",14250,80.75,5.26743,0.0258136
"""29-JAN-2019""",14250,80.8333,5.26743,0.0284133
"""29-JAN-2019""",14250,80.9167,5.26743,0.031401
"""29-JAN-2019""",14250,81,5.26743,0.0341826
"""29-JAN-2019""",14250,81.0833,5.26743,0.0367907
"""29-JAN-2019""",14250,81.1667,5.26743,0.0376217
"""29-JAN-2019""",14250,81.25,5.26743,0.0376445
"""29-JAN-2019""",14250,81.3333,5.26743,0.0368739
"""29-JAN-2019""",14250,81.4167,5.26743,0.0350329
"""29-JAN-2019""",14250,81.5,5.26743,0.0339827
"""29-JAN-2019""",14250,81.5833,5.26743,0.0330769
"""29-JAN-2019""",14250,81.6667,5.26743,0.0322439
"""29-JAN-2019""",14250,81.75,5.26743,0.0321505
"""29-JAN-2019""",14250,81.8333,5.26743,0.0324606
"""29-JAN-2019""",14250,81.9167,5.26743,0.0322469
"""29-JAN-2019""",14250,82,5.26743,0.0330297
"""29-JAN-2019""",14250,82.0833,5.26743,0.0333826
"""29-JAN-2019""",14250,82.1667,5.26743,0.0343482
"""29-JAN-2019""",14250,82.25,5.26743,0.0339646
"""29-JAN-2019""",14250,82.3333,5.26743,0.0345459
"""29-JAN-2019""",14250,82.4167,5.26743,0.0353634
"""29-JAN-2019""",14250,82.5,5.26743,0.0342047
"""29-JAN-2019""",14250,82.5833,5.26743,0.034449
"""29-JAN-2019""",14250,82.6667,5.26743,0.0334057
"""29-JAN-2019""",14250,82.75,5.26743,0.0326732
"""29-JAN-2019""",14250,82.8333,5.26743,0.0320499
"""29-JAN-2019""",14250,82.9167,5.26743,0.0321671
"""29-JAN-2019""",14250,83,5.26743,0.0325883
"""29-JAN-2019""",14250,83.0833,5.26743,0.0325195
"""29-JAN-2019""",14250,83.1667,5.26743,0.0329946
"""29-JAN-2019""",14250,83.25,5.26743,0.032428
"""29-JAN-2019""",14250,83.3333,5.26743,0.0329072
"""29-JAN-2019""",14250,83.4167,5.26743,0.0331509
"""29-JAN-2019""",14250,83.5,5.26743,0.0340547
"""29-JAN-2019""",14250,83.5833,5.26743,0.0336713
"""29-JAN-2019""",14250,83.6667,5.26743,0.0349997
"""29-JAN-2019""",14250,83.75,5.26743,0.0348344
"""29-JAN-2019""",14250,83.8333,5.26743,0.0346685
