DATETIME,TIME,LON,LAT,SSS
"""29-JAN-2019""",14250,87.5833,5.26743,34.5303
"""29-JAN-2019""",14250,87.6667,5.26743,34.52
"""29-JAN-2019""",14250,87.75,5.26743,34.5093
"""29-JAN-2019""",14250,87.8333,5.26743,34.4988
"""29-JAN-2019""",14250,87.9167,5.26743,34.4879
"""29-JAN-2019""",14250,88,5.26743,34.4811
"""29-JAN-2019""",14250,88.0833,5.26743,34.475
"""29-JAN-2019""",14250,88.1667,5.26743,34.4688
"""29-JAN-2019""",14250,88.25,5.26743,34.4646
"""29-JAN-2019""",14250,88.3333,5.26743,34.4596
"""29-JAN-2019""",14250,88.4167,5.26743,34.4514
"""29-JAN-2019""",14250,88.5,5.26743,34.4471
"""29-JAN-2019""",14250,88.5833,5.26743,34.4399
"""29-JAN-2019""",14250,88.6667,5.26743,34.4305
"""29-JAN-2019""",14250,88.75,5.26743,34.4203
"""29-JAN-2019""",14250,88.8333,5.26743,34.412
"""29-JAN-2019""",14250,88.9167,5.26743,34.3987
"""29-JAN-2019""",14250,89,5.26743,34.3966
"""29-JAN-2019""",14250,89.0833,5.26743,34.3847
"""29-JAN-2019""",14250,89.1667,5.26743,34.3852
"""29-JAN-2019""",14250,89.25,5.26743,34.3745
"""29-JAN-2019""",14250,89.3333,5.26743,34.3735
"""29-JAN-2019""",14250,89.4167,5.26743,34.3639
"""29-JAN-2019""",14250,89.5,5.26743,34.3676
"""29-JAN-2019""",14250,89.5833,5.26743,34.3646
"""29-JAN-2019""",14250,89.6667,5.26743,34.3557
"""29-JAN-2019""",14250,89.75,5.26743,34.3594
"""29-JAN-2019""",14250,89.8333,5.26743,34.3383
"""29-JAN-2019""",14250,89.9167,5.26743,34.3274
"""29-JAN-2019""",14250,90,5.26743,34.3039
"""29-JAN-2019""",14250,90.0833,5.26743,34.3
"""29-JAN-2019""",14250,90.1667,5.26743,34.2934
"""29-JAN-2019""",14250,90.25,5.26743,34.2906
"""29-JAN-2019""",14250,90.3333,5.26743,34.2889
"""29-JAN-2019""",14250,90.4167,5.26743,34.2921
"""29-JAN-2019""",14250,90.5,5.26743,34.2814
"""29-JAN-2019""",14250,90.5833,5.26743,34.2927
"""29-JAN-2019""",14250,90.6667,5.26743,34.2844
"""29-JAN-2019""",14250,90.75,5.26743,34.2907
"""29-JAN-2019""",14250,90.8333,5.26743,34.2829
"""29-JAN-2019""",14250,90.9167,5.26743,34.29
"""29-JAN-2019""",14250,91,5.26743,34.2769
"""29-JAN-2019""",14250,91.0833,5.26743,34.2776
"""29-JAN-2019""",14250,91.1667,5.26743,34.2672
"""29-JAN-2019""",14250,65.8333,5.35041,35.0737
"""29-JAN-2019""",14250,65.9167,5.35041,35.072
"""29-JAN-2019""",14250,66,5.35041,35.0706
"""29-JAN-2019""",14250,66.0833,5.35041,35.0693
"""29-JAN-2019""",14250,66.1667,5.35041,35.0687
"""29-JAN-2019""",14250,66.25,5.35041,35.0686
"""29-JAN-2019""",14250,66.3333,5.35041,35.0688
"""29-JAN-2019""",14250,66.4167,5.35041,35.0695
