DATETIME,TIME,LON,LAT,DEVIANT_UNCERTAINTY
"""29-JAN-2019""",14250,71.9167,5.35041,1.09814
"""29-JAN-2019""",14250,72,5.35041,1.0854
"""29-JAN-2019""",14250,72.0833,5.35041,0.966928
"""29-JAN-2019""",14250,72.1667,5.35041,1.04547
"""29-JAN-2019""",14250,72.25,5.35041,1.03477
"""29-JAN-2019""",14250,72.3333,5.35041,1.04129
"""29-JAN-2019""",14250,72.4167,5.35041,1.07635
"""29-JAN-2019""",14250,72.5,5.35041,0.917375
"""29-JAN-2019""",14250,72.5833,5.35041,0.906707
"""29-JAN-2019""",14250,72.6667,5.35041,0.942676
"""29-JAN-2019""",14250,72.75,5.35041,0.935904
"""29-JAN-2019""",14250,72.8333,5.35041,0.843833
"""29-JAN-2019""",14250,72.9167,5.35041,0.902821
"""29-JAN-2019""",14250,73,5.35041,1.00946
"""29-JAN-2019""",14250,73.0833,5.35041,1.17336
"""29-JAN-2019""",14250,73.1667,5.35041,1.18289
"""29-JAN-2019""",14250,73.25,5.35041,1.65531
"""29-JAN-2019""",14250,73.3333,5.35041,1.17826
"""29-JAN-2019""",14250,73.4167,5.35041,1.02202
"""29-JAN-2019""",14250,73.5,5.35041,1.17227
"""29-JAN-2019""",14250,73.5833,5.35041,1.16915
"""29-JAN-2019""",14250,73.6667,5.35041,1.16911
"""29-JAN-2019""",14250,73.75,5.35041,1.20396
"""29-JAN-2019""",14250,73.8333,5.35041,1.16449
"""29-JAN-2019""",14250,73.9167,5.35041,1.14492
"""29-JAN-2019""",14250,74,5.35041,1.17611
"""29-JAN-2019""",14250,74.0833,5.35041,1.15404
"""29-JAN-2019""",14250,74.1667,5.35041,1.14575
"""29-JAN-2019""",14250,74.25,5.35041,1.1282
"""29-JAN-2019""",14250,74.3333,5.35041,1.09075
"""29-JAN-2019""",14250,74.4167,5.35041,1.05962
"""29-JAN-2019""",14250,74.5,5.35041,1.01839
"""29-JAN-2019""",14250,74.5833,5.35041,1.02277
"""29-JAN-2019""",14250,74.6667,5.35041,0.961741
"""29-JAN-2019""",14250,74.75,5.35041,0.964418
"""29-JAN-2019""",14250,74.8333,5.35041,1.37331
"""29-JAN-2019""",14250,74.9167,5.35041,1.40264
"""29-JAN-2019""",14250,75,5.35041,1.38159
"""29-JAN-2019""",14250,75.0833,5.35041,1.2774
"""29-JAN-2019""",14250,75.1667,5.35041,1.36495
"""29-JAN-2019""",14250,75.25,5.35041,1.34031
"""29-JAN-2019""",14250,75.3333,5.35041,1.19093
"""29-JAN-2019""",14250,75.4167,5.35041,1.33072
"""29-JAN-2019""",14250,75.5,5.35041,1.40507
"""29-JAN-2019""",14250,75.5833,5.35041,1.3711
"""29-JAN-2019""",14250,75.6667,5.35041,1.37188
"""29-JAN-2019""",14250,75.75,5.35041,1.39984
"""29-JAN-2019""",14250,75.8333,5.35041,1.50082
"""29-JAN-2019""",14250,75.9167,5.35041,1.47138
"""29-JAN-2019""",14250,76,5.35041,1.49355
"""29-JAN-2019""",14250,76.0833,5.35041,1.36181
"""29-JAN-2019""",14250,76.1667,5.35041,1.35985
"""29-JAN-2019""",14250,76.25,5.35041,1.40873
"""29-JAN-2019""",14250,76.3333,5.35041,1.33558
"""29-JAN-2019""",14250,76.4167,5.35041,1.4581
"""29-JAN-2019""",14250,76.5,5.35041,1.15325
"""29-JAN-2019""",14250,76.5833,5.35041,1.14381
"""29-JAN-2019""",14250,76.6667,5.35041,1.25239
"""29-JAN-2019""",14250,76.75,5.35041,1.10814
"""29-JAN-2019""",14250,76.8333,5.35041,1.03468
"""29-JAN-2019""",14250,76.9167,5.35041,1.05735
"""29-JAN-2019""",14250,77,5.35041,1.07547
"""29-JAN-2019""",14250,77.0833,5.35041,1.10127
"""29-JAN-2019""",14250,77.1667,5.35041,1.15673
"""29-JAN-2019""",14250,77.25,5.35041,1.09722
"""29-JAN-2019""",14250,77.3333,5.35041,1.09705
"""29-JAN-2019""",14250,77.4167,5.35041,1.15858
"""29-JAN-2019""",14250,77.5,5.35041,1.11574
"""29-JAN-2019""",14250,77.5833,5.35041,1.18429
"""29-JAN-2019""",14250,77.6667,5.35041,1.16295
"""29-JAN-2019""",14250,77.75,5.35041,1.18209
"""29-JAN-2019""",14250,77.8333,5.35041,1.15678
"""29-JAN-2019""",14250,77.9167,5.35041,1.05961
"""29-JAN-2019""",14250,78,5.35041,1.05441
"""29-JAN-2019""",14250,78.0833,5.35041,2.16537
"""29-JAN-2019""",14250,78.1667,5.35041,2.10695
"""29-JAN-2019""",14250,78.25,5.35041,1.99799
"""29-JAN-2019""",14250,78.3333,5.35041,1.96068
"""29-JAN-2019""",14250,78.4167,5.35041,2.03021
"""29-JAN-2019""",14250,78.5,5.35041,2.03877
"""29-JAN-2019""",14250,78.5833,5.35041,1.93228
"""29-JAN-2019""",14250,78.6667,5.35041,1.89422
"""29-JAN-2019""",14250,78.75,5.35041,2.0738
"""29-JAN-2019""",14250,78.8333,5.35041,1.73997
"""29-JAN-2019""",14250,78.9167,5.35041,1.72686
"""29-JAN-2019""",14250,79,5.35041,1.69477
"""29-JAN-2019""",14250,79.0833,5.35041,1.68002
"""29-JAN-2019""",14250,79.1667,5.35041,1.74439
"""29-JAN-2019""",14250,79.25,5.35041,1.6966
"""29-JAN-2019""",14250,79.3333,5.35041,1.70686
